line_item_resource_id,bill_payer_account_id,product_product_name,line_item_product_code,product_region,line_item_usage_type,product_instance_type_family,product_instance_type,line_item_operation,line_item_line_item_type,line_item_normalization_factor,line_item_usage_amount,line_item_unblended_cost,line_item_normalized_usage_amount
i-001f5bcbe3d577534,836060457634,Amazon Elastic Compute Cloud,AmazonEC2,us-east-1,BoxUsage:t2.micro,t2,t2.micro,RunInstances,DiscountedUsage,0.5,7.990833,8,5272.0
i-002be1670ce0ec8c3,836060457634,Amazon Elastic Compute Cloud,AmazonEC2,us-east-1,BoxUsage:t2.micro,t2,t2.micro,RunInstances,DiscountedUsage,0.5,7.997222,8,5268.0
i-005cf3265682ee4a3,836060457634,Amazon Elastic Compute Cloud,AmazonEC2,us-east-1,BoxUsage:t2.micro,t2,t2.micro,RunInstances,DiscountedUsage,0.5,7.996667,8,0.014028
i-0094c98bf8532f45e,836060457634,Amazon Elastic Compute Cloud,AmazonEC2,us-east-1,BoxUsage:t2.micro,t2,t2.micro,RunInstances,DiscountedUsage,0.5,7.994167,8,3.999722
i-011dcab7fe91424d6,836060457634,Amazon Elastic Compute Cloud,AmazonEC2,us-east-1,BoxUsage:t2.large,t2,t2.large,RunInstances,DiscountedUsage,4.0,184.6875,985,3.997778
i-014e5b5f037664657,836060457634,Amazon Elastic Compute Cloud,AmazonEC2,us-east-1,BoxUsage:t2.micro,t2,t2.micro,RunInstances,DiscountedUsage,0.5,7.996944,8,3.9979165
i-015bf138d799d5782,836060457634,Amazon Elastic Compute Cloud,AmazonEC2,us-east-1,BoxUsage:t2.micro,t2,t2.micro,RunInstances,DiscountedUsage,0.5,358.5,359,1343.977776
i-01858470cc1b08555,836060457634,Amazon Elastic Compute Cloud,AmazonEC2,us-east-1,BoxUsage:t2.nano,t2,t2.nano,RunInstances,DiscountedUsage,0.25,2207.0,2207,3.9931945
i-01c24bac399144aa9,836060457634,Amazon Elastic Compute Cloud,AmazonEC2,us-east-1,BoxUsage:m5.large,m5,m5.large,RunInstances:0002,DiscountedUsage,4.0,1316.0,1316,3.9991665
i-02d3229d6696ee169,836060457634,Amazon Elastic Compute Cloud,AmazonEC2,us-east-1,BoxUsage:t2.large,t2,t2.large,RunInstances,DiscountedUsage,4.0,1384.6875,7385,0.055
i-02d9f093fffe17b73,836060457634,Amazon Elastic Compute Cloud,AmazonEC2,us-east-1,BoxUsage:t2.micro,t2,t2.micro,RunInstances,DiscountedUsage,0.5,7.989444,8,3.996528
i-030816443383341d1,836060457634,Amazon Elastic Compute Cloud,AmazonEC2,us-east-1,BoxUsage:t2.micro,t2,t2.micro,RunInstances,DiscountedUsage,0.5,7.989444,17,6657.25
