line_item_resource_id,bill_payer_account_id,product_product_name,line_item_product_code,product_region,line_item_usage_type,product_instance_type_family,product_instance_type,line_item_operation,line_item_line_item_type,line_item_normalization_factor,line_item_usage_amount,line_item_unblended_cost,line_item_normalized_usage_amount
arn:aws:rds:us-east-1:836060457634:db:prod2,836060457634,Amazon Relational Database Service,AmazonRDS,us-east-1,InstanceUsage:db.r4.large,R4,db.r4.large,CreateDBInstance:0016,Usage,4.0,1318.0,1318,5272.0
arn:aws:rds:us-east-1:836060457634:db:prod2-us-east-1c,836060457634,Amazon Relational Database Service,AmazonRDS,us-east-1,InstanceUsage:db.r4.large,R4,db.r4.large,CreateDBInstance:0016,Usage,4.0,1317.0,1317,5268.0
i-00143a9111922a180,836060457634,Amazon Elastic Compute Cloud,AmazonEC2,us-east-1,BoxUsage:t2.micro,t2,t2.micro,RunInstances,Usage,0.5,0.028056,1,0.014028
i-001ded15f59f7570f,836060457634,Amazon Elastic Compute Cloud,AmazonEC2,us-east-1,BoxUsage:t2.micro,t2,t2.micro,RunInstances,Usage,0.5,7.999444,8,3.999722
i-0043f0c2ab7f6d7a5,836060457634,Amazon Elastic Compute Cloud,AmazonEC2,us-east-1,BoxUsage:t2.micro,t2,t2.micro,RunInstances,Usage,0.5,7.995556,8,3.997778
i-00601b1bc2f347bcc,836060457634,Amazon Elastic Compute Cloud,AmazonEC2,us-east-1,BoxUsage:t2.micro,t2,t2.micro,RunInstances,Usage,0.5,7.995833,8,3.9979165
i-006c214f6bf10fd43,836060457634,Amazon Elastic Compute Cloud,AmazonEC2,us-east-1,BoxUsage:c5.large,c5,c5.large,RunInstances,Usage,4.0,335.994444,336,1343.977776
i-00acd1648f2a6318a,836060457634,Amazon Elastic Compute Cloud,AmazonEC2,us-east-1,BoxUsage:t2.micro,t2,t2.micro,RunInstances,Usage,0.5,7.986389,8,3.9931945
i-00d323feba2deb121,836060457634,Amazon Elastic Compute Cloud,AmazonEC2,us-east-1,BoxUsage:t2.micro,t2,t2.micro,RunInstances,Usage,0.5,7.998333,8,3.9991665
i-00f5b86428eba8c0d,836060457634,Amazon Elastic Compute Cloud,AmazonEC2,us-east-1,BoxUsage:t2.micro,t2,t2.micro,RunInstances,Usage,0.5,0.11,1,0.055
i-011316258aca3f3bf,836060457634,Amazon Elastic Compute Cloud,AmazonEC2,us-east-1,BoxUsage:t2.micro,t2,t2.micro,RunInstances,Usage,0.5,7.993056,8,3.996528
i-011dcab7fe91424d6,836060457634,Amazon Elastic Compute Cloud,AmazonEC2,us-east-1,BoxUsage:t2.large,t2,t2.large,RunInstances,Usage,4.0,1664.3125,1849,6657.25
i-011e3dd9ec62ff2e0,836060457634,Amazon Elastic Compute Cloud,AmazonEC2,us-east-1,BoxUsage:t2.micro,t2,t2.micro,RunInstances,Usage,0.5,7.99,8,3.995
